datetime,water_acre_feet
2016-01-01 00:00:00,6610818
2016-01-01 01:00:00,6559389
2016-01-01 02:00:00,6840908
2016-01-01 03:00:00,6557979
2016-01-01 04:00:00,6534157
2016-01-01 05:00:00,6556724
2016-01-01 06:00:00,6617330
2016-01-01 07:00:00,6650935
2016-01-01 08:00:00,6533335
2016-01-01 09:00:00,6534834
2016-01-01 10:00:00,6760133
2016-01-01 11:00:00,6639901
2016-01-01 12:00:00,6617028
2016-01-01 13:00:00,7227177
2016-01-01 14:00:00,7017755
2016-01-01 15:00:00,6549522
2016-01-01 16:00:00,6608337
2016-01-01 17:00:00,6544170
2016-01-01 18:00:00,6401782
2016-01-01 19:00:00,6609068
2016-01-01 20:00:00,6531152
2016-01-01 21:00:00,6670276
2016-01-01 22:00:00,6827075
2016-01-01 23:00:00,6388030
2016-01-02 00:00:00,6920102
2016-01-02 01:00:00,7955183
2016-01-02 02:00:00,6562765
2016-01-02 03:00:00,6705238
2016-01-02 04:00:00,6592450
2016-01-02 05:00:00,6557443
2016-01-02 06:00:00,6770221
2016-01-02 07:00:00,6535947
2016-01-02 08:00:00,6661016
2016-01-02 09:00:00,6536765
2016-01-02 10:00:00,6659881
2016-01-02 11:00:00,6924714
2016-01-02 12:00:00,6653854
2016-01-02 13:00:00,6565898
2016-01-02 14:00:00,6706812
2016-01-02 15:00:00,6702039
2016-01-02 16:00:00,6842110
2016-01-02 17:00:00,6562729
2016-01-02 18:00:00,6735504
2016-01-02 19:00:00,6595480
2016-01-02 20:00:00,6548420
2016-01-02 21:00:00,6569012
2016-01-02 22:00:00,6543288
2016-01-02 23:00:00,6376059
2016-01-03 00:00:00,6662129
2016-01-03 01:00:00,7194441
2016-01-03 02:00:00,6703962
2016-01-03 03:00:00,6387142
2016-01-03 04:00:00,6740787
2016-01-03 05:00:00,6456023
2016-01-03 06:00:00,6574780
2016-01-03 07:00:00,7022878
2016-01-03 08:00:00,6665625
2016-01-03 09:00:00,6547928
2016-01-03 10:00:00,6545534
2016-01-03 11:00:00,7560492
2016-01-03 12:00:00,6548821
2016-01-03 13:00:00,6557556
2016-01-03 14:00:00,6547245
2016-01-03 15:00:00,6550475
2016-01-03 16:00:00,6550820
2016-01-03 17:00:00,6377573
2016-01-03 18:00:00,6555243
2016-01-03 19:00:00,6627073
2016-01-03 20:00:00,7247522
2016-01-03 21:00:00,6553859
2016-01-03 22:00:00,6438305
2016-01-03 23:00:00,6096320
2016-01-04 00:00:00,5887936
2016-01-04 01:00:00,6557571
2016-01-04 02:00:00,6800324
2016-01-04 03:00:00,6482404
2016-01-04 04:00:00,6787587
2016-01-04 05:00:00,6747797
2016-01-04 06:00:00,6550997
2016-01-04 07:00:00,6530077
2016-01-04 08:00:00,6573416
2016-01-04 09:00:00,7041941
2016-01-04 10:00:00,6673773
2016-01-04 11:00:00,6623358
2016-01-04 12:00:00,6526000
2016-01-04 13:00:00,6834910
2016-01-04 14:00:00,6584549
2016-01-04 15:00:00,6569403
2016-01-04 16:00:00,6677868
2016-01-04 17:00:00,6721851
2016-01-04 18:00:00,6638188
2016-01-04 19:00:00,6572500
2016-01-04 20:00:00,6866668
2016-01-04 21:00:00,6553980
2016-01-04 22:00:00,6424521
2016-01-04 23:00:00,6499636
2016-01-05 00:00:00,6681375
2016-01-05 01:00:00,6575855
2016-01-05 02:00:00,6177990
