,sand_temp,sand_wind,sand_vis,sand_ceil,fres_temp,fres_wind,fres_vis,fres_ceil,rive_temp,rive_wind,rive_vis,rive_ceil,redd_temp,redd_wind,redd_vis,redd_ceil
2016-01-01 01:00:00-08:00,156,26,16093,22000,100,0,11265,22000,133,51,16093,22000,94,72,16093,22000
2016-01-01 02:00:00-08:00,144,21,16093,22000,78,0,11265,22000,128,46,16093,22000,83,93,16093,22000
2016-01-01 03:00:00-08:00,139,0,16093,22000,67,0,9656,22000,122,46,16093,22000,78,67,16093,22000
2016-01-01 04:00:00-08:00,133,0,16093,22000,56,15,8047,22000,117,41,16093,22000,67,72,16093,22000
2016-01-01 05:00:00-08:00,122,0,16093,22000,39,0,6437,22000,111,51,16093,22000,67,72,16093,22000
2016-01-01 06:00:00-08:00,117,0,16093,22000,33,0,4828,22000,111,41,16093,22000,56,72,16093,22000
2016-01-01 07:00:00-08:00,111,0,16093,22000,22,0,4828,22000,100,26,16093,22000,50,57,16093,22000
2016-01-01 08:00:00-08:00,106,0,16093,22000,11,15,4828,22000,94,31,16093,22000,44,88,16093,22000
2016-01-01 09:00:00-08:00,100,0,16093,22000,11,15,4828,22000,89,31,16093,22000,39,51,16093,22000
2016-01-01 10:00:00-08:00,94,0,16093,22000,6,0,4828,22000,94,36,16093,22000,39,62,16093,22000
2016-01-01 11:00:00-08:00,72,0,16093,22000,0,0,4828,22000,78,26,16093,22000,39,67,16093,22000
2016-01-01 12:00:00-08:00,83,0,16093,22000,0,0,4828,22000,83,36,16093,22000,39,62,16093,22000
2016-01-01 13:00:00-08:00,78,0,16093,22000,-6,21,4828,22000,72,31,16093,22000,39,62,16093,22000
2016-01-01 14:00:00-08:00,78,0,16093,22000,-11,15,6437,22000,72,31,16093,22000,39,62,16093,22000
2016-01-01 15:00:00-08:00,89,0,16093,22000,-17,15,6437,22000,78,36,16093,22000,39,77,16093,22000
2016-01-01 16:00:00-08:00,89,0,16093,22000,-6,15,6437,22000,83,41,16093,22000,39,82,16093,22000
2016-01-01 17:00:00-08:00,89,0,16093,22000,17,0,8047,22000,106,46,16093,22000,50,62,16093,22000
2016-01-01 18:00:00-08:00,144,21,16093,22000,44,15,11265,22000,122,36,16093,22000,61,77,16093,22000
2016-01-01 19:00:00-08:00,156,0,16093,22000,67,0,12875,22000,144,41,16093,22000,72,82,16093,22000
2016-01-01 20:00:00-08:00,172,0,16093,6096,89,0,12875,22000,156,36,16093,22000,83,88,16093,22000
2016-01-01 21:00:00-08:00,178,21,16093,6096,106,31,14484,22000,167,21,16093,22000,94,67,16093,22000
2016-01-01 22:00:00-08:00,178,31,16093,6096,106,0,14484,22000,172,15,16093,6096,100,46,16093,22000
2016-01-01 23:00:00-08:00,172,26,16093,6096,111,0,14484,22000,172,0,16093,22000,100,57,16093,22000
2016-01-02 00:00:00-08:00,167,21,16093,6096,111,0,12875,22000,172,26,16093,6096,100,41,16093,22000
2016-01-02 01:00:00-08:00,156,15,16093,7010,106,0,12875,22000,150,15,16093,6096,83,36,16093,22000
2016-01-02 02:00:00-08:00,150,0,16093,22000,94,15,14484,22000,128,15,16093,22000,72,36,16093,22000
2016-01-02 03:00:00-08:00,150,0,16093,22000,83,21,11265,22000,117,26,16093,22000,67,41,16093,22000
2016-01-02 04:00:00-08:00,150,0,16093,22000,78,21,11265,22000,106,26,16093,22000,50,26,16093,22000
2016-01-02 05:00:00-08:00,150,0,16093,22000,61,21,11265,22000,94,15,16093,22000,56,41,16093,2438
2016-01-02 06:00:00-08:00,150,0,16093,22000,67,21,11265,22000,94,0,16093,22000,56,41,16093,2438
2016-01-02 07:00:00-08:00,111,0,16093,7620,61,0,11265,22000,83,15,16093,22000,61,26,16093,2286
2016-01-02 08:00:00-08:00,117,0,16093,6706,56,0,9656,3658,72,15,16093,22000,56,26,16093,2134
2016-01-02 09:00:00-08:00,111,0,16093,7010,56,15,9656,3658,78,0,16093,22000,56,31,16093,2134
2016-01-02 10:00:00-08:00,106,15,16093,22000,50,0,9656,3658,56,15,16093,22000,50,46,16093,2134
2016-01-02 11:00:00-08:00,89,15,16093,22000,50,0,9656,3048,61,0,16093,22000,50,41,16093,2134
2016-01-02 12:00:00-08:00,89,0,16093,7620,56,31,9656,3048,56,26,16093,22000,44,36,16093,2134
2016-01-02 13:00:00-08:00,83,0,16093,7620,50,21,9656,3048,67,0,16093,22000,44,26,16093,2134
2016-01-02 14:00:00-08:00,78,0,16093,7620,56,0,8047,3048,56,26,16093,22000,33,26,16093,22000
2016-01-02 15:00:00-08:00,78,0,16093,7620,56,15,8047,3658,44,15,16093,22000,30,41,16093,1981
2016-01-02 16:00:00-08:00,94,0,16093,7620,50,21,4828,4572,50,0,16093,22000,39,36,16093,1981
2016-01-02 17:00:00-08:00,128,15,16093,7620,56,0,4828,4572,100,21,16093,22000,50,36,16093,1829
2016-01-02 18:00:00-08:00,139,26,16093,7620,67,0,4828,4572,122,21,16093,4572,61,36,16093,1829
2016-01-02 19:00:00-08:00,156,15,16093,7620,83,0,6437,4572,167,0,16093,22000,72,46,16093,1829
2016-01-02 20:00:00-08:00,167,26,16093,7620,94,0,6437,4572,183,21,16093,22000,83,26,16093,1829
2016-01-02 21:00:00-08:00,172,21,16093,7620,106,0,8047,4572,200,0,16093,22000,83,26,16093,1676
2016-01-02 22:00:00-08:00,172,21,16093,7620,111,0,8047,4572,200,15,16093,22000,89,21,16093,2438
2016-01-02 23:00:00-08:00,172,0,16093,7620,111,0,8047,6096,194,26,16093,22000,89,15,16093,3353
2016-01-03 00:00:00-08:00,172,26,16093,7620,117,0,8047,4572,183,21,16093,22000,89,21,16093,3353
2016-01-03 01:00:00-08:00,161,21,16093,7620,100,15,8047,6096,161,36,16093,6096,72,15,16093,3353
2016-01-03 02:00:00-08:00,150,0,16093,7620,89,26,9656,3353,144,21,16093,22000,72,21,16093,3048
2016-01-03 03:00:00-08:00,150,0,16093,7620,83,15,9656,3962,122,0,16093,6096,72,15,16093,3048
2016-01-03 04:00:00-08:00,150,0,16093,7620,78,15,8047,6096,111,15,16093,22000,67,0,16093,3048
2016-01-03 05:00:00-08:00,128,0,16093,7620,83,0,9656,22000,100,15,16093,22000,72,15,16093,2438
2016-01-03 06:00:00-08:00,122,0,16093,6706,83,0,8047,3962,100,0,16093,22000,67,21,16093,22000
2016-01-03 07:00:00-08:00,122,0,16093,6096,72,0,8047,3962,111,15,16093,22000,56,0,16093,3048
2016-01-03 08:00:00-08:00,117,0,16093,5486,72,21,8047,3353,89,0,16093,22000,44,0,16093,22000
2016-01-03 09:00:00-08:00,117,0,16093,5486,72,15,8047,3658,83,0,16093,22000,50,15,16093,3048
2016-01-03 10:00:00-08:00,117,0,16093,5486,72,26,8047,3658,67,15,16093,22000,50,15,16093,3048
2016-01-03 11:00:00-08:00,100,0,16093,4877,72,21,8047,3353,78,21,16093,22000,44,15,16093,3353
2016-01-03 12:00:00-08:00,100,0,16093,4877,67,0,8047,3658,61,21,16093,22000,44,0,16093,2896
2016-01-03 13:00:00-08:00,100,0,16093,4877,67,0,8047,3658,67,21,16093,22000,44,0,16093,2743
