start_datetime,date,hr_index,7da_load_fcast_mw,2da_load_fcast_mw,dam_load_fcast_mw,rtm_load_fcast_mw
2016-01-01 08:00:00+00:00,2016-01-01,1,22232.26,22872.01,23018.64,22179.0
2016-01-01 09:00:00+00:00,2016-01-01,2,21515.0,22070.77,22188.26,21331.625
2016-01-01 10:00:00+00:00,2016-01-01,3,20854.85,21419.4,21581.45,20648.3125
2016-01-01 11:00:00+00:00,2016-01-01,4,20495.68,20997.22,21261.0,20389.0
2016-01-01 12:00:00+00:00,2016-01-01,5,20490.69,21008.41,21289.56,20443.8125
2016-01-01 13:00:00+00:00,2016-01-01,6,20950.76,21464.04,21823.54,20868.125
2016-01-01 14:00:00+00:00,2016-01-01,7,21525.58,21835.97,22550.65,21567.0
2016-01-01 15:00:00+00:00,2016-01-01,8,21422.95,21704.51,22546.23,21647.625
2016-01-01 16:00:00+00:00,2016-01-01,9,21454.57,21719.15,22482.49,21809.3125
2016-01-01 17:00:00+00:00,2016-01-01,10,21610.98,21736.47,22399.67,21739.5
2016-01-01 18:00:00+00:00,2016-01-01,11,21551.79,21599.54,22187.26,21511.3125
2016-01-01 19:00:00+00:00,2016-01-01,12,21321.83,21342.42,21811.77,21198.125
2016-01-01 20:00:00+00:00,2016-01-01,13,21021.19,21026.28,21402.61,20686.5
2016-01-01 21:00:00+00:00,2016-01-01,14,20748.82,20872.32,21215.56,20391.5625
2016-01-01 22:00:00+00:00,2016-01-01,15,20731.98,20789.28,21186.31,20297.25
2016-01-01 23:00:00+00:00,2016-01-01,16,20914.16,21118.08,21631.11,21121.0625
2016-01-02 00:00:00+00:00,2016-01-01,17,21973.24,22537.72,23240.57,22903.5
2016-01-02 01:00:00+00:00,2016-01-01,18,25520.07,26356.34,27118.31,26695.5
2016-01-02 02:00:00+00:00,2016-01-01,19,26628.97,27501.77,28172.65,27021.0
2016-01-02 03:00:00+00:00,2016-01-01,20,26568.64,27473.44,27985.09,26663.8125
2016-01-02 04:00:00+00:00,2016-01-01,21,26014.76,26876.23,27401.31,26278.125
2016-01-02 05:00:00+00:00,2016-01-01,22,24902.52,25743.94,26250.22,25271.375
2016-01-02 06:00:00+00:00,2016-01-01,23,23261.39,23981.53,24631.45,23739.25
2016-01-02 07:00:00+00:00,2016-01-01,24,21943.3,22583.51,23021.82,22101.0625
2016-01-02 08:00:00+00:00,2016-01-02,1,22280.47,22254.43,22632.39,20868.5
2016-01-02 09:00:00+00:00,2016-01-02,2,21585.36,21502.12,21893.55,20008.375
2016-01-02 10:00:00+00:00,2016-01-02,3,21110.11,21021.8,21433.4,19471.5
2016-01-02 11:00:00+00:00,2016-01-02,4,20991.96,20915.37,21331.72,19280.375
2016-01-02 12:00:00+00:00,2016-01-02,5,21246.36,21191.71,21620.68,19454.75
2016-01-02 13:00:00+00:00,2016-01-02,6,21991.48,22100.38,22367.33,20107.875
2016-01-02 14:00:00+00:00,2016-01-02,7,22950.48,23198.09,23188.24,21202.8125
2016-01-02 15:00:00+00:00,2016-01-02,8,23348.89,23563.13,23548.77,21690.0
2016-01-02 16:00:00+00:00,2016-01-02,9,23704.81,23978.54,23966.46,22442.1875
2016-01-02 17:00:00+00:00,2016-01-02,10,23629.12,24221.21,24091.4,22642.5
2016-01-02 18:00:00+00:00,2016-01-02,11,23212.99,23769.05,23591.09,22645.9375
2016-01-02 19:00:00+00:00,2016-01-02,12,22564.24,23250.16,23122.76,22515.5
