datetime,sand_temp,sand_wind,sand_vis,sand_ceil
2016-01-01 00:00:00,+0161,0031,016000,99999
2016-01-01 00:51:00,+0156,0026,016093,22000
2016-01-01 01:51:00,+0144,0021,016093,22000
2016-01-01 02:51:00,+0139,0000,016093,22000
2016-01-01 03:51:00,+0133,0000,016093,22000
2016-01-01 04:51:00,+0122,0000,016093,22000
2016-01-01 05:51:00,+0117,0000,016093,22000
2016-01-01 06:00:00,+0117,0000,016000,99999
2016-01-01 06:51:00,+0111,0000,016093,22000
2016-01-01 07:51:00,+0106,0000,016093,22000
2016-01-01 09:51:00,+0094,0000,016093,22000
2016-01-01 10:51:00,+0072,0000,016093,22000
2016-01-01 11:51:00,+0083,0000,016093,22000
2016-01-01 12:00:00,+0083,0000,016000,99999
2016-01-01 12:51:00,+0078,0000,016093,22000
2016-01-01 13:51:00,+0072,0000,016093,22000
2016-01-01 14:51:00,+0089,0000,016093,22000
2016-01-01 15:51:00,+0100,0000,016093,22000
2016-01-01 16:51:00,+0133,0000,016093,22000
2016-01-01 17:51:00,+0144,0021,016093,22000
2016-01-01 18:00:00,+0144,0021,016000,99999
2016-01-01 18:51:00,+0156,0000,016093,22000
2016-01-01 19:51:00,+0172,0000,016093,06096
2016-01-01 20:51:00,+0178,0021,016093,06096
2016-01-01 21:51:00,+0178,0031,016093,06096
2016-01-01 22:51:00,+0172,0026,016093,06096
2016-01-01 23:51:00,+0167,0021,016093,06096
2016-01-02 00:00:00,+0167,0021,016000,99999
2016-01-02 00:51:00,+0156,0015,016093,07010
2016-01-02 01:51:00,+0150,0000,016093,22000
2016-01-02 02:51:00,+0139,0000,016093,22000
2016-01-02 03:51:00,+0133,0000,016093,22000
2016-01-02 04:51:00,+0117,0000,016093,22000
2016-01-02 05:51:00,+0111,0000,016093,22000
2016-01-02 06:00:00,+0111,0000,016000,99999
2016-01-02 06:51:00,+0111,0000,016093,07620
2016-01-02 07:51:00,+0117,0000,016093,06706
2016-01-02 07:59:00,+9999,9999,999999,99999
2016-01-02 08:51:00,+0111,0000,016093,07010
2016-01-02 09:51:00,+0106,0015,016093,22000
2016-01-02 10:51:00,+0089,0015,016093,22000
2016-01-02 11:51:00,+0089,0000,016093,07620
2016-01-02 12:00:00,+0089,0000,016000,99999
2016-01-02 12:51:00,+0083,0000,016093,07620
2016-01-02 13:51:00,+0078,0000,016093,07620
2016-01-02 14:51:00,+0078,0000,016093,07620
2016-01-02 15:51:00,+0094,0000,016093,07620
2016-01-02 16:51:00,+0128,0015,016093,07620
2016-01-02 17:51:00,+0139,0026,016093,07620
2016-01-02 18:00:00,+0139,0026,016000,99999
2016-01-02 18:51:00,+0156,0015,016093,07620
2016-01-02 19:51:00,+0167,0026,016093,07620
2016-01-02 20:51:00,+0172,0021,016093,07620
2016-01-02 21:51:00,+0172,0021,016093,07620
2016-01-02 22:51:00,+0172,0000,016093,07620
2016-01-02 23:51:00,+0172,0026,016093,07620
2016-01-03 00:00:00,+0172,0026,016000,99999
2016-01-03 00:51:00,+0161,0021,016093,07620
2016-01-03 01:51:00,+0150,0000,016093,07620
2016-01-03 02:51:00,+0139,0000,016093,22000
2016-01-03 03:51:00,+0133,0000,016093,22000
2016-01-03 04:51:00,+0128,0000,016093,07620
2016-01-03 05:51:00,+0122,0000,016093,06706
2016-01-03 06:00:00,+0122,0000,016000,99999
2016-01-03 06:51:00,+0122,0000,016093,06096
2016-01-03 07:51:00,+0117,0000,016093,05486
2016-01-03 07:59:00,+9999,9999,999999,99999
2016-01-03 08:51:00,+0111,0000,016093,22000
2016-01-03 09:51:00,+0100,0000,016093,22000
2016-01-03 10:51:00,+0100,0000,016093,04877
2016-01-03 11:51:00,+0100,0000,016093,04877
2016-01-03 12:00:00,+0100,0000,016000,99999
2016-01-03 12:51:00,+0100,0000,016093,22000
2016-01-03 13:51:00,+0094,0000,016093,22000
