datetime,fres_temp,fres_wind,fres_vis,fres_ceil
2016-01-01 00:53:00,+0100,0000,011265,22000
2016-01-01 01:53:00,+0078,0000,011265,22000
2016-01-01 02:53:00,+0067,0000,009656,22000
2016-01-01 03:53:00,+0056,0015,008047,22000
2016-01-01 04:53:00,+0039,0000,006437,22000
2016-01-01 05:53:00,+0033,0000,004828,22000
2016-01-01 06:53:00,+0022,0000,004828,22000
2016-01-01 07:53:00,+0011,0015,004828,22000
2016-01-01 09:53:00,+0006,0000,004828,22000
2016-01-01 10:53:00,+0000,0000,004828,22000
2016-01-01 12:53:00,-0006,0021,004828,22000
2016-01-01 13:53:00,-0011,0015,006437,22000
2016-01-01 14:53:00,-0017,0015,006437,22000
2016-01-01 15:53:00,-0006,0015,006437,22000
2016-01-01 16:53:00,+0017,0000,008047,22000
2016-01-01 17:53:00,+0044,0015,011265,22000
2016-01-01 18:53:00,+0067,0000,012875,22000
2016-01-01 19:53:00,+0089,0000,012875,22000
2016-01-01 20:53:00,+0106,0031,014484,22000
2016-01-01 21:53:00,+0106,0000,014484,22000
2016-01-01 22:53:00,+0111,0000,014484,22000
2016-01-01 23:53:00,+0111,0000,012875,22000
2016-01-02 00:53:00,+0106,0000,012875,22000
2016-01-02 01:53:00,+0094,0015,014484,22000
2016-01-02 02:53:00,+0083,0021,011265,22000
2016-01-02 03:53:00,+0078,0021,011265,22000
2016-01-02 04:53:00,+0061,0021,011265,22000
2016-01-02 05:53:00,+0067,0021,011265,22000
2016-01-02 06:53:00,+0061,0000,011265,22000
2016-01-02 07:53:00,+0056,0000,009656,03658
2016-01-02 08:53:00,+0056,0015,009656,03658
2016-01-02 09:53:00,+0050,0000,009656,03658
2016-01-02 10:53:00,+0050,0000,009656,03048
2016-01-02 11:53:00,+0056,0031,009656,03048
2016-01-02 12:53:00,+0050,0021,009656,03048
2016-01-02 13:53:00,+0056,0000,008047,03048
2016-01-02 14:53:00,+0056,0015,008047,03658
2016-01-02 15:53:00,+0050,0021,004828,04572
2016-01-02 16:53:00,+0056,0000,004828,04572
2016-01-02 17:53:00,+0067,0000,004828,04572
2016-01-02 18:53:00,+0083,0000,006437,04572
2016-01-02 19:53:00,+0094,0000,006437,04572
2016-01-02 20:53:00,+0106,0000,008047,04572
2016-01-02 21:53:00,+0111,0000,008047,04572
2016-01-02 22:53:00,+0111,0000,008047,06096
2016-01-02 23:53:00,+0117,0000,008047,04572
2016-01-03 00:53:00,+0100,0015,008047,06096
2016-01-03 01:53:00,+0089,0026,009656,03353
2016-01-03 02:53:00,+0083,0015,009656,03962
2016-01-03 03:53:00,+0078,0015,008047,06096
2016-01-03 04:53:00,+0083,0000,009656,22000
2016-01-03 05:53:00,+0083,0000,008047,03962
2016-01-03 06:53:00,+0072,0000,008047,03962
2016-01-03 07:53:00,+0072,0021,008047,03353
2016-01-03 08:53:00,+0072,0015,008047,03658
2016-01-03 09:53:00,+0072,0026,008047,03658
2016-01-03 10:53:00,+0072,0021,008047,03353
2016-01-03 11:53:00,+0067,0000,008047,03658
2016-01-03 13:53:00,+0061,0000,008047,03962
2016-01-03 14:53:00,+0056,0015,006437,03962
2016-01-03 15:53:00,+0056,0021,006437,05486
2016-01-03 16:53:00,+0072,0000,008047,06096
2016-01-03 17:53:00,+0089,0000,009656,06096
2016-01-03 18:53:00,+0111,0000,009656,06096
2016-01-03 19:53:00,+0133,0000,009656,06096
2016-01-03 20:53:00,+0144,0000,011265,06096
2016-01-03 21:53:00,+0150,0000,016093,22000
2016-01-03 22:53:00,+0156,0000,016093,06096
2016-01-03 23:53:00,+0144,0026,016093,06096
2016-01-04 00:53:00,+0128,0000,016093,06096
2016-01-04 01:53:00,+0111,0000,016093,04572
2016-01-04 02:53:00,+0117,0015,016093,04572
2016-01-04 03:53:00,+0100,0000,014484,03658
2016-01-04 04:53:00,+0094,0015,016093,22000
2016-01-04 05:53:00,+0078,0026,012875,22000
2016-01-04 06:53:00,+0072,0015,008047,22000
2016-01-04 07:53:00,+0078,0000,006437,04572
2016-01-04 08:53:00,+0061,0000,006437,04572
2016-01-04 09:53:00,+0050,0000,008047,22000
2016-01-04 10:53:00,+0050,0000,009656,22000
2016-01-04 11:53:00,+0044,0000,012875,22000
2016-01-04 12:53:00,+0039,0015,009656,22000
2016-01-04 13:53:00,+0044,0000,004828,02896
2016-01-04 14:53:00,+0050,0000,004828,02896
2016-01-04 15:53:00,+0061,0015,004828,03048
2016-01-04 16:53:00,+0078,0000,004828,03353
2016-01-04 17:53:00,+0089,0021,011265,02743
2016-01-04 18:53:00,+0089,0021,009656,02896
2016-01-04 19:53:00,+0094,0026,006437,03048
2016-01-04 20:53:00,+0100,0015,008047,02591
2016-01-04 21:53:00,+0111,0026,012875,02438
2016-01-04 22:53:00,+0117,0026,011265,02134
2016-01-04 23:53:00,+0117,0000,011265,02438
2016-01-05 00:53:00,+0106,0021,016093,02438
2016-01-05 01:53:00,+0106,0000,016093,02134
2016-01-05 02:53:00,+0100,0026,016093,02286
2016-01-05 03:53:00,+0106,0021,016093,01524
2016-01-05 04:53:00,+0106,0021,016093,01524
2016-01-05 05:53:00,+0094,0015,016093,01676
2016-01-05 06:53:00,+0094,0021,016093,01829
2016-01-05 07:53:00,+0083,0031,016093,01981
2016-01-05 08:53:00,+0089,0026,014484,01981
2016-01-05 09:53:00,+0094,0031,012875,02134
2016-01-05 10:53:00,+0094,0041,012875,02134
2016-01-05 11:53:00,+0094,0026,008047,01829
2016-01-05 12:53:00,+0089,0031,008047,01981
2016-01-05 13:53:00,+0094,0057,009656,01981
