datetime,rive_temp,rive_wind,rive_vis,rive_ceil
2016-01-01 00:53:00,+0133,0051,016093,22000
2016-01-01 01:53:00,+0128,0046,016093,22000
2016-01-01 02:53:00,+0122,0046,016093,22000
2016-01-01 03:53:00,+0117,0041,016093,22000
2016-01-01 04:53:00,+0111,0051,016093,22000
2016-01-01 05:53:00,+0111,0041,016093,22000
2016-01-01 06:53:00,+0100,0026,016093,22000
2016-01-01 07:53:00,+0094,0031,016093,22000
2016-01-01 08:53:00,+0089,0031,016093,22000
2016-01-01 09:53:00,+0094,0036,016093,22000
2016-01-01 10:53:00,+0078,0026,016093,22000
2016-01-01 11:53:00,+0083,0036,016093,22000
2016-01-01 12:53:00,+0072,0031,016093,22000
2016-01-01 14:53:00,+0078,0036,016093,22000
2016-01-01 15:53:00,+0083,0041,016093,22000
2016-01-01 16:53:00,+0106,0046,016093,22000
2016-01-01 17:53:00,+0122,0036,016093,22000
2016-01-01 18:53:00,+0144,0041,016093,22000
2016-01-01 19:53:00,+0156,0036,016093,22000
2016-01-01 20:53:00,+0167,0021,016093,22000
2016-01-01 21:53:00,+0172,0015,016093,06096
2016-01-01 22:53:00,+0172,0000,016093,22000
2016-01-01 23:53:00,+0172,0026,016093,06096
2016-01-02 00:53:00,+0150,0015,016093,06096
2016-01-02 01:53:00,+0128,0015,016093,22000
2016-01-02 02:53:00,+0117,0026,016093,22000
2016-01-02 03:53:00,+0106,0026,016093,22000
2016-01-02 04:53:00,+0094,0015,016093,22000
2016-01-02 05:53:00,+0094,0000,016093,22000
2016-01-02 06:53:00,+0083,0015,016093,22000
2016-01-02 07:53:00,+0072,0015,016093,22000
2016-01-02 08:53:00,+0078,0000,016093,22000
2016-01-02 09:53:00,+0056,0015,016093,22000
2016-01-02 10:53:00,+0061,0000,016093,22000
2016-01-02 11:53:00,+0056,0026,016093,22000
2016-01-02 12:53:00,+0067,0000,016093,22000
2016-01-02 13:53:00,+0056,0026,016093,22000
2016-01-02 14:53:00,+0044,0015,016093,22000
2016-01-02 15:53:00,+0050,0000,016093,22000
2016-01-02 16:53:00,+0100,0021,016093,22000
2016-01-02 17:53:00,+0122,0021,016093,04572
2016-01-02 18:53:00,+0167,0000,016093,22000
2016-01-02 19:53:00,+0183,0021,016093,22000
2016-01-02 20:53:00,+0200,0000,016093,22000
2016-01-02 21:53:00,+0200,0015,016093,22000
2016-01-02 22:53:00,+0194,0026,016093,22000
2016-01-02 23:53:00,+0183,0021,016093,22000
2016-01-03 00:53:00,+0161,0036,016093,06096
2016-01-03 01:53:00,+0144,0021,016093,22000
2016-01-03 02:53:00,+0122,0000,016093,06096
2016-01-03 03:53:00,+0111,0015,016093,22000
2016-01-03 04:53:00,+0100,0015,016093,22000
2016-01-03 05:53:00,+0100,0000,016093,22000
2016-01-03 06:53:00,+0111,0015,016093,22000
2016-01-03 07:53:00,+0089,0000,016093,22000
2016-01-03 08:53:00,+0083,0000,016093,22000
2016-01-03 09:53:00,+0067,0015,016093,22000
2016-01-03 10:53:00,+0078,0021,016093,22000
2016-01-03 11:53:00,+0061,0021,016093,22000
2016-01-03 12:53:00,+0067,0021,016093,22000
2016-01-03 13:53:00,+0061,0015,016093,22000
2016-01-03 14:53:00,+0061,0021,016093,06096
2016-01-03 15:53:00,+0072,0021,016093,06096
2016-01-03 16:53:00,+0100,0031,016093,06096
2016-01-03 17:53:00,+0133,0000,016093,22000
2016-01-03 18:53:00,+0161,0026,016093,06096
2016-01-03 19:53:00,+0172,0046,016093,03658
2016-01-03 20:53:00,+0167,0046,016093,22000
2016-01-03 21:53:00,+0161,0041,016093,04572
2016-01-03 22:53:00,+0161,0026,016093,04572
2016-01-03 23:53:00,+0156,0015,016093,04572
2016-01-04 00:53:00,+0144,0000,016093,02896
2016-01-04 01:53:00,+0133,0000,016093,04572
2016-01-04 02:53:00,+0122,0000,016093,22000
2016-01-04 03:53:00,+0117,0000,016093,04572
2016-01-04 04:53:00,+0117,0000,014484,22000
2016-01-04 05:53:00,+0111,0021,016093,22000
2016-01-04 07:53:00,+0106,0000,016093,22000
2016-01-04 08:53:00,+0094,0000,016093,03048
2016-01-04 09:53:00,+0100,0000,016093,02438
2016-01-04 10:53:00,+0094,0000,012875,03048
2016-01-04 11:53:00,+0094,0000,012875,01524
2016-01-04 12:53:00,+0100,0026,016093,01829
2016-01-04 13:53:00,+0100,0021,016093,01829
2016-01-04 14:53:00,+0100,0015,016093,01829
2016-01-04 15:53:00,+0117,0031,016093,01829
2016-01-04 16:53:00,+0150,0036,016093,01676
2016-01-04 17:53:00,+0161,0041,016093,01829
2016-01-04 18:53:00,+0178,0041,016093,22000
2016-01-04 19:53:00,+0178,0031,016093,01829
2016-01-04 20:53:00,+0183,0015,016093,01676
2016-01-04 21:53:00,+0189,0000,016093,01829
2016-01-04 22:53:00,+0189,0000,016093,03658
2016-01-04 23:53:00,+0189,0021,016093,22000
2016-01-05 00:53:00,+0178,0021,016093,01829
2016-01-05 01:53:00,+0161,0031,016093,01829
2016-01-05 02:53:00,+0144,0021,016093,02438
2016-01-05 03:53:00,+0139,0000,016093,22000
2016-01-05 04:53:00,+0133,0000,016093,01494
2016-01-05 05:53:00,+0133,0000,016093,01829
2016-01-05 06:51:00,+0130,0000,016093,00518
2016-01-05 06:53:00,+0128,0000,016093,00518
2016-01-05 07:46:00,+0128,0000,016093,01676
2016-01-05 07:53:00,+0128,0000,016093,01280
2016-01-05 08:02:00,+0128,0000,016093,00579
2016-01-05 08:38:00,+0128,0000,016093,01097
2016-01-05 08:53:00,+0128,0000,016093,01372
2016-01-05 11:35:00,+0128,0015,016093,00884
2016-01-05 11:46:00,+0128,0000,016093,00914
2016-01-05 11:53:00,+0122,0015,016093,01341
2016-01-05 12:53:00,+0128,0015,016093,01189
2016-01-05 13:51:00,+0120,0015,016093,00579
2016-01-05 13:53:00,+0122,0021,016093,00579
2016-01-05 14:24:00,+0122,0000,016093,02286
2016-01-05 14:53:00,+0122,0015,016093,03048
2016-01-05 15:53:00,+0133,0031,016093,01829
2016-01-05 16:53:00,+0139,0046,016093,01981
2016-01-05 17:11:00,+0139,0031,016093,00853
2016-01-05 17:53:00,+0133,0021,016093,00671
2016-01-05 18:19:00,+0133,0046,012875,01097
2016-01-05 18:53:00,+0128,0041,004828,01524
2016-01-05 19:53:00,+0128,0031,008047,00823
2016-01-05 20:21:00,+0128,0021,003219,00732
2016-01-05 20:44:00,+0122,0000,002816,00914
2016-01-05 20:51:00,+0120,0015,004023,01372
2016-01-05 20:53:00,+0122,0021,004828,01372
2016-01-05 21:48:00,+0130,0021,004023,01433
2016-01-05 21:51:00,+0130,0021,004828,01494
2016-01-05 21:53:00,+0128,0031,006437,01494
2016-01-05 22:53:00,+0128,0015,016093,02896
2016-01-05 23:13:00,+0128,0036,003219,01067
2016-01-05 23:19:00,+0128,0031,004828,00792
2016-01-05 23:53:00,+0122,0057,006437,00518
2016-01-06 00:07:00,+0122,0062,011265,00244
2016-01-06 00:24:00,+0122,0041,016093,00457
2016-01-06 00:42:00,+0122,0051,016093,02591
2016-01-06 00:53:00,+0122,0062,009656,03048
2016-01-06 01:10:00,+0122,0057,016093,00732
2016-01-06 01:39:00,+0117,0067,016093,22000
2016-01-06 01:53:00,+0117,0067,016093,22000
2016-01-06 02:53:00,+0117,0051,016093,22000
2016-01-06 03:53:00,+0111,0046,016093,01219
2016-01-06 04:53:00,+0106,0021,016093,22000
2016-01-06 05:53:00,+0106,0031,016093,01097
2016-01-06 06:53:00,+0111,0041,016093,01189
2016-01-06 07:53:00,+0111,0041,016093,01006
2016-01-06 08:15:00,+0106,0041,016093,00762
2016-01-06 08:53:00,+0106,0021,016093,01128
2016-01-06 09:25:00,+0100,0015,016093,00640
2016-01-06 09:53:00,+0100,0000,016093,00579
2016-01-06 10:53:00,+0089,0015,016093,22000
2016-01-06 11:53:00,+0083,0015,016093,01524
2016-01-06 12:15:00,+0083,0021,016093,00823
2016-01-06 12:43:00,+0083,0021,016093,22000
2016-01-06 14:53:00,+0083,0000,016093,01250
2016-01-06 15:53:00,+0083,0015,016093,01372
2016-01-06 16:53:00,+0100,0015,016093,01524
2016-01-06 17:53:00,+0111,0036,016093,01036
2016-01-06 18:53:00,+0128,0041,016093,01189
2016-01-06 19:53:00,+0122,0026,008047,01158
2016-01-06 20:19:00,+0117,0021,004023,01189
2016-01-06 20:53:00,+0111,0015,004023,01219
2016-01-06 21:04:00,+0106,0000,002012,00975
2016-01-06 21:37:00,+0100,0015,002012,00853
2016-01-06 21:47:00,+0100,0000,004828,00853
2016-01-06 21:53:00,+0100,0000,008047,00853
2016-01-06 22:05:00,+0100,0015,008047,01402
2016-01-06 22:53:00,+0106,0021,016093,01829
2016-01-06 23:53:00,+0117,0036,016093,02743
2016-01-07 00:53:00,+0100,0046,016093,01311
2016-01-07 01:53:00,+0100,0031,016093,02743
2016-01-07 02:53:00,+0100,0036,016093,01676
2016-01-07 03:35:00,+0100,0000,016093,00884
2016-01-07 03:51:00,+0090,0000,016093,02134
2016-01-07 03:53:00,+0094,0000,016093,02134
2016-01-07 04:53:00,+0094,0000,016093,01463
2016-01-07 05:46:00,+0094,0015,016093,00853
2016-01-07 05:51:00,+0090,0015,016093,01097
2016-01-07 05:53:00,+0094,0015,016093,01097
2016-01-07 06:53:00,+0089,0021,016093,02134
2016-01-07 07:53:00,+0094,0015,011265,01250
2016-01-07 08:48:00,+0080,0000,004828,00884
2016-01-07 08:53:00,+0083,0021,004828,00853
2016-01-07 09:03:00,+0083,0015,004828,00914
2016-01-07 09:12:00,+0083,0021,004828,00853
2016-01-07 09:19:00,+0083,0000,006437,01036
2016-01-07 09:53:00,+0083,0015,008047,01219
2016-01-07 10:02:00,+0083,0015,004828,00579
2016-01-07 10:27:00,+0083,0015,011265,01067
2016-01-07 10:53:00,+0083,0026,008047,00853
2016-01-07 11:01:00,+0083,0026,006437,00914
2016-01-07 11:12:00,+0083,0015,014484,00853
2016-01-07 11:35:00,+0078,0015,004023,00732
2016-01-07 11:43:00,+0078,0015,004828,00914
2016-01-07 11:53:00,+0078,0000,008047,01067
2016-01-07 12:23:00,+0078,0015,016093,00762
